,Searched Title,Company,Position,Location,Skills
0,Data Analyst,"SPIN Analytics and Strategy,",Sr Data Analyst,"San Mateo, CA","Statistics, SQL/R, Python, Hadoop, Tableau, Spot fire, Strong SQL skills, Teradata, AWS"
1,Data Analyst,"CyberCoders,","Lead Data Analyst - Qualitative, SQL queries, Gaming","San Francisco, CA","Data Analyst, Quantitative Analysis, SQL Queries, AB testing, Gaming, Excel, Tableau, Statistics - Data Analyst, Quantitative Analysis, SQL Queries, AB testing, Gaming, Excel, Tableau, Statistics"
2,Data Analyst,"Source Coders,",Data Analyst,"San Francisco, CA","Data, Data Analyst, SQL, Python, mobile gaming"
3,Data Analyst,"Genesis10,",Data Analyst,"San Francisco, CA","Analyst, Analytical, Computer, Excel, SAS, SQL"
4,Data Analyst,"CyberCoders,",Sr. Data Analyst,"Hayward, CA","Tableau, SQL Server and Management Studio, Excel - Tableau, SQL Server and Management Studio, Excel"
5,Data Analyst,"Signature Consultants,",Marketing Data Analyst,"San Francisco, CA",Marketing Data Analyst
6,Data Analyst,"Mainz Brady Group,",Data Analyst,"Oakland, CA","Data Analyst, data administration, Moniter data, SQL, Oracle Database, Toad, SQL querying skills"
7,Data Analyst,"Eaton & Associates,",BI Data Analyst,"Redwood City, CA",BI Data Analyst Health SQL Report
8,Data Analyst,"JCG-DBA BI Group, Inc.,",Data Analyst,"San Francisco, CA","Data Analyst, Data Modeling, Data Mapping, Data Lineage"
9,Data Analyst,"SmartWorks,",Data Analyst (Denodo),"San Francisco, CA","DENODO,Oracle,Qlikview,Data Analyst, Data Virtualization"
10,Data Analyst,"Intersources Inc,",Business Data Analyst - Informatica MDM,"San Francisco, CA",business system analyst informatica MDM master data management
11,Data Analyst,"Estuate Inc.,",Senior BI Data Analyst,"San Mateo, CA","SQL, MS SQL Server ETL and creation of SQL stored procedures, Enterprise Data Warehouse, Healthcare, Microsoft Power BI or Tableau"
12,Data Analyst,"Estuate Inc.,",Senior BI Data Analyst,"San Mateo, CA","SQL, MS SQL Server ETL and creation of SQL stored procedures, Enterprise Data Warehouse, Healthcare, Microsoft Power BI or Tableau"
13,Data Analyst,"Ascentiant International,",Data Analyst,"Walnut Creek, CA",R SAS SQL ETL EPIC Clarity HIPAA ANALYST
14,Data Analyst,"Finezi,",Data Analyst,"San Francisco, CA",Providing excellent client and peer interaction using system analytic skills. Assist and support other business analysis on ad hoc requests. Work with the peer and clients to provide the best data ana
15,Data Analyst,"Incedo,",Data Analyst,"San Francisco, CA","Data Analysis, Data Mining, Pharmaceutical, Pre-clinical/Non-Clinical"
